ID,age,income,education,gender,married,children,date_min,date_max,amount,frequency
1,52,<25,Post-graduate,Male,No,0,7/24/2004,9/4/2006,485,5
2,32,<25,College,Female,No,0,11/5/2004,11/10/2005,350,4
3,35,25-49,Post-graduate,Female,No,1,5/15/2005,6/4/2005,233,2
4,50,75+,High school,Male,Yes,2,5/7/2004,8/18/2006,936,7
5,43,75+,Post-graduate,Female,No,2,5/17/2004,7/7/2006,359,NA
6,49,75+,High school,Female,Yes,2,12/30/2005,7/16/2006,249,3
7,38,75+,Some college,Female,No,,6/27/2004,2/15/2006,1089,7
8,29,75+,College,Female,No,2,6/14/2004,8/21/2006,423,4
9,22,<25,Some college,Female,Yes,0,9/2/2004,8/31/2006,689,7
10,46,75+,College,Female,Yes,2,6/4/2004,10/13/2005,325,3
11,43,<25,Some college,Female,No,0,4/20/2004,12/22/2006,431,4
12,36,25-49,Some college,Female,Yes,1,4/26/2005,9/24/2006,596,7
13,42,75+,Some high school or less,Female,Yes,2,4/24/2004,10/12/2006,519,5
14,34,25-49,Some high school or less,Female,NA,NA, , , , 
15,69,50-74,Post-graduate,NA,Yes,2,11/5/2004,7/3/2006,845,8
16,48,<25,College,Male,No,0,4/12/2004,2/23/2006,1008,9
17,56,50-74,Some high school or less,Female,Yes,0,5/6/2005,5/6/2005,89,1
18,25,50-74,Post-graduate,Female,No,1,3/24/2004,8/5/2006,770,8
19,27,25-49,High school,Male,No,0,10/19/2004,11/22/2005,504,4
20,49,50-74,High school,Female,No,2,4/16/2004,5/14/2006,388,3
21,57,75+,High school,Female,Yes,0,5/1/2004,11/19/2006,665,6
22,43,75+,Some high school or less,Female,Yes,2,5/27/2004,6/17/2006,854,6
23,42,50-74,High school,Male,No,0,6/25/2004,10/2/2005,413,5
24,55,50-74,High school,Male,No,1,10/5/2004,8/5/2006,433,4
25,43,50-74,Some high school or less,Female,Yes,2,4/9/2004,6/14/2006,243,3
26,38,25-49,High school,Female,No,0,2/27/2004,2/18/2006,805,6
27,65,75+,Post-graduate,Female,Yes,2,11/6/2005,11/12/2005,253,2
28,59,25-49,Some high school or less,Male,Yes,3,6/24/2004,6/4/2006,341,5
29,46,75+,College,Male,Yes,2,8/8/2006,8/24/2006,121,2
30,38,50-74,Some high school or less,Male,No,0,4/29/2004,6/6/2006,583,5
31,47,75+,Post-graduate,Female,No,1,4/1/2004,10/7/2006,965,8
32,41,<25,College,Male,No,0,7/12/2004,7/3/2005,324,NA
33,36,<25,Post-graduate,Male,Yes,1,4/5/2004,6/8/2006,528,5
34,27,<25,College,Female,Yes,0,5/7/2004,6/28/2006,788,9
35,23,<25,High school,Male,No,0,3/5/2004,10/25/2006,552,4
36,57,75+,Some college,Male,Yes,3,7/28/2004,8/29/2006,182,4
37,44,75+,High school,Female,Yes,3,1/22/2005,10/29/2006,466,6
38,60,75+,Post-graduate,Male,Yes,2,3/6/2004,7/4/2005,300,4
39,43,75+,College,Male,No,0,7/19/2004,12/17/2005,518,6
40,29,25-49,College,Male,No,1,12/9/2004,12/20/2006,627,6
41,14,<25,Some college,Female,No,0,1/20/2004,10/31/2005,665,5
42,29,25-49,Post-graduate,Female,No,0,12/5/2004,9/16/2006,424,5
43,68,75+,High school,Female,No,3,3/27/2004,7/23/2005,323,5
44,39,<25,Some college,Male,No,0,6/8/2005,8/13/2006,340,3
45,55,75+,Some high school or less,Male,Yes,0,5/21/2004,2/23/2005,287,3
46,52,25-49,Some college,Male,Yes,3,7/23/2004,2/17/2006,836,6
47,57,50-74,Some high school or less,Male,No,1,2/24/2004,8/27/2006,927,9
48,45,75+,High school,Female,Yes,2,4/23/2004,1/10/2005,277,2
49,50,50-74,Some high school or less,Male,No,0,5/8/2004,12/18/2006,839,8
50,44,75+,Post-graduate,Female,No,0,11/14/2004,5/18/2006,712,6
51,19,25-49,High school,Male,No,0,3/24/2004,9/6/2004,237,2
52,60,75+,College,Female,No,0,5/28/2004,8/30/2005,401,4
53,NA,75+,Some high school or less,Female,Yes,2,5/29/2005,10/21/2006,319,6
54,38,25-49,Some high school or less,Female,Yes,2,6/28/2004,6/4/2006,669,7
55,70,75+,High school,Male,Yes,2,7/11/2005,12/7/2005,491,4
56,55,75+,High school,Female,Yes,2,6/12/2004,9/20/2006,431,6
57,17,25-49,High school,Male,No,0,4/4/2004,1/9/2006,719,7
58,56,75+,Some high school or less,Male,Yes,2,5/29/2004,8/1/2006,732,8
59,28,50-74,High school,Male,No,0,9/10/2004,2/7/2006,434,5
60,57,75+,Post-graduate,Female,Yes,2,10/9/2004,4/23/2006,526,8
61,48,75+,College,Female,Yes,2,2/13/2004,11/10/2005,420,3
62,52,75+,College,Male,Yes,0,6/30/2004,1/7/2005,294,3
63,50,50-74,Post-graduate,Male,Yes,2,5/27/2004,11/21/2006,471,5
64,65,75+,College,Male,No,0,1/13/2004,8/14/2005,222,4
65,52,75+,High school,Female,No,2,5/16/2004,6/6/2005,531,6
66,24,25-49,Some college,Female,No,0,2/29/2004,5/9/2005,338,4
67,51,75+,High school,Male,No,0,7/27/2004,6/3/2005,191,2
68,45,50-74,Some high school or less,Female,Yes,2,6/5/2004,3/24/2006,480,5
69,38,25-49,Some high school or less,Female,Yes,1,5/31/2005,9/24/2006,424,2
70,62,50-74,Post-graduate,Female,No,1,6/3/2004,8/3/2005,297,2
71,47,<25,Post-graduate,Male,No,0,10/24/2004,8/12/2005,295,3
72,32,<25,Some college,Male,No,0,6/11/2004,3/30/2006,450,5
73,48,75+,Some college,Male,Yes,0,4/25/2004,1/21/2006,870,9
74,46,<25,College,Female,No,0,4/30/2004,7/18/2006,420,6
75,47,25-49,High school,Female,No,1,4/26/2004,9/19/2006,303,6
76,46,75+,College,Male,No,0,4/18/2004,5/16/2006,128,3
77,52,50-74,College,Female,Yes,2,6/9/2004,9/21/2006,587,6
78,24,75+,Some college,Female,No,2,3/14/2004,8/17/2006,548,5
79,43,25-49,Post-graduate,Female,Yes,2,8/17/2004,8/24/2006,567,6
80,37,50-74,High school,Female,Yes,1,2/25/2004,10/27/2006,513,7
81,41,75+,Post-graduate,Male,Yes,2,4/22/2005,5/10/2005,165,2
82,58,75+,Post-graduate,Male,Yes,0,9/25/2004,8/3/2005,792,7
83,40,<25,College,Female,Yes,0,7/1/2005,12/17/2005,416,4
84,41,<25,College,Male,No,0,9/11/2004,3/22/2006,652,5
85,57,75+,Post-graduate,Female,Yes,2,4/6/2004,9/27/2006,586,5
86,35,25-49,Some high school or less,Male,No,0,3/24/2004,6/14/2006,111,3
87,35,25-49,High school,Male,No,1,2/8/2005,12/23/2006,540,6
88,38,25-49,Some high school or less,Female,No,1,4/7/2004,3/12/2006,665,8
89,49,50-74,College,Male,No,0,9/8/2004,6/2/2006,558,5
90,42,50-74,College,Male,No,0,2/29/2004,11/26/2005,540,6
91,49,25-49,Some high school or less,Female,No,1,8/4/2005,9/7/2005,62,2
92,18,<25,College,Female,No,0,8/2/2004,4/30/2006,235,5
93,49,75+,Post-graduate,Male,Yes,2,5/6/2005,9/23/2006,283,5
94,35,<25,Some college,Female,No,0,1/20/2004,9/25/2005,625,7
95,46,75+,Some college,Female,Yes,0,3/8/2004,1/19/2006,760,8
96,33,<25,High school,Female,Yes,1,5/25/2004,7/13/2006,236,5
97,45,75+,College,Male,Yes,2,4/13/2004,5/20/2006,317,4
98,37,50-74,Some high school or less,Female,Yes,0,3/21/2005,12/4/2005,402,5
99,47,75+,Some high school or less,Male,Yes,0,7/5/2005,5/6/2006,152,3
100,34,75+,High school,Male,Yes,2,12/28/2004,4/24/2006,172,2
101,60,25-49,High school,Female,Yes,0,5/30/2004,8/25/2006,952,8
102,52,25-49,Some college,Male,Yes,0,10/5/2004,5/27/2005,198,2
103,64,25-49,Post-graduate,Female,Yes,2,8/2/2005,8/2/2005,102,1
104,48,75+,Some college,Female,Yes,2,1/9/2004,8/31/2004,476,7
105,39,50-74,Some high school or less,Female,No,1,3/10/2004,8/17/2006,774,7
106,47,75+,Some college,Female,No,1,3/29/2005,11/13/2006,819,8
107,36,75+,High school,Male,Yes,1,4/22/2004,5/9/2006,556,5
108,63,75+,High school,Male,Yes,,4/14/2005,8/28/2006,353,5
109,58,75+,Some college,Female,Yes,2,8/10/2004,8/23/2006,720,7
110,37,25-49,High school,Female,No,0,8/16/2004,6/20/2006,405,4
111,18,25-49,High school,Male,No,0,8/29/2005,5/1/2006,242,4
112,55,50-74,High school,Female,No,1,9/21/2004,9/20/2006,123,3
113,45,25-49,College,Female,Yes,0,4/11/2004,9/8/2005,700,7
114,27,25-49,Post-graduate,Male,No,0,3/13/2005,7/4/2006,618,5
115,51,<25,Some high school or less,Female,No,0,5/21/2005,9/8/2006,265,4
116,35,<25,College,Male,No,0,1/11/2005,4/11/2006,332,5
117,41,<25,Some high school or less,Female,No,0,8/28/2004,6/15/2005,409,4
118,39,25-49,High school,Female,No,1,2/9/2004,9/19/2006,348,5
119,56,25-49,College,Female,Yes,0,10/18/2004,11/27/2006,874,5
120,50,50-74,Some high school or less,Male,No,2,6/28/2004,12/20/2005,607,7
121,53,75+,Some college,Female,No,0,7/8/2004,3/8/2006,815,7
122,57,50-74,Some college,Male,Yes,3,6/20/2005,6/20/2005,172,1
123,31,25-49,College,Female,No,0,3/14/2004,8/15/2006,839,7
124,51,25-49,Some college,Female,No,1,2/20/2004,7/16/2006,595,10
125,41,75+,Some high school or less,Male,No,0,9/10/2004,10/5/2006,798,6
126,50,25-49,High school,Female,Yes,2,7/11/2004,4/30/2006,697,5
127,42,25-49,Post-graduate,Male,No,1,6/12/2004,6/12/2004,190,1
128,56,75+,Some high school or less,Female,Yes,2,5/20/2005,8/4/2006,522,6
129,47,25-49,Some college,Female,Yes,0,1/20/2004,1/5/2006,469,7
130,32,<25,Some high school or less,Female,No,0,3/7/2004,4/8/2006,859,9
131,62,75+,College,Female,Yes,0,1/15/2004,10/9/2006,531,7
132,53,50-74,High school,Male,Yes,3,5/12/2004,7/22/2005,430,4
133,20,75+,Post-graduate,Female,No,3,2/12/2005,2/12/2005,104,1
134,17,25-49,Post-graduate,Male,No,0,4/8/2004,12/3/2005,333,4
135,56,75+,College,Female,Yes,2,6/3/2004,11/12/2005,368,6
136,35,50-74,Post-graduate,Female,No,0,4/8/2004,7/10/2006,591,7
137,53,25-49,Some high school or less,Female,Yes,2,2/16/2005,7/2/2006,473,4
138,27,<25,Some high school or less,Female,No,0,4/21/2004,6/23/2006,598,8
139,47,75+,College,Male,Yes,2,10/21/2005,2/17/2006,91,2
140,45,75+,Some high school or less,Female,No,2,4/17/2004,7/18/2005,363,3
141,54,75+,College,Female,Yes,2,5/12/2004,12/9/2005,547,6
142,31,75+,Post-graduate,Female,No,0,2/3/2004,6/16/2006,900,10
143,52,50-74,Some college,Male,Yes,2,12/15/2004,9/30/2005,268,3
144,24,25-49,Post-graduate,Male,No,0,5/10/2004,4/27/2005,455,3
145,35,25-49,College,Female,No,0,5/17/2004,7/30/2006,626,7
146,51,75+,High school,Female,Yes,2,5/26/2004,9/21/2006,479,5
147,34,75+,Some college,Female,No,0,2/7/2005,4/10/2006,510,6
148,42,<25,Some college,Female,No,0,3/10/2005,7/7/2006,199,2
149,40,75+,Post-graduate,Male,No,0,2/9/2005,7/3/2006,419,5
150,32,<25,High school,Female,No,0,4/17/2005,7/23/2005,293,3
151,46,25-49,Some high school or less,Female,Yes,2,5/6/2006,5/6/2006,175,1
152,50,75+,College,Male,Yes,2,8/20/2004,3/11/2006,413,3
153,44,25-49,High school,Male,Yes,2,2/21/2004,3/8/2005,468,4
154,47,75+,Post-graduate,Female,No,4,7/16/2004,9/12/2005,392,5
155,52,25-49,College,Male,Yes,2,2/14/2004,11/18/2006,438,3
156,48,75+,High school,Female,No,1,5/25/2004,4/12/2006,476,5
157,54,75+,Some high school or less,Female,Yes,2,7/16/2004,11/29/2005,4300,9
158,40,25-49,High school,Female,Yes,1,8/5/2004,12/21/2005,188,3
159,51,50-74,High school,Female,No,1,11/27/2004,8/9/2006,613,7
160,46,25-49,Some high school or less,Male,Yes,3,11/22/2004,5/4/2006,249,3
161,35,<25,Some high school or less,Male,No,0,4/7/2004,3/20/2006,527,4
162,37,25-49,College,Male,No,0,6/13/2004,7/12/2006,381,4
163,51,75+,Post-graduate,Female,Yes,2, , , , 
164,62,75+,College,Male,Yes,2,8/8/2004,7/9/2006,536,8
165,23,50-74,High school,Female,No,1,3/9/2004,6/21/2006,512,6
166,20,25-49,High school,Female,No,0,6/6/2004,9/6/2006,888,7
167,39,75+,College,Female,Yes,0,4/19/2004,4/15/2006,1065,12
168,45,75+,College,Female,No,3,6/18/2004,7/11/2006,260,3
169,50,75+,Post-graduate,Female,Yes,0,3/22/2004,8/18/2006,650,7
170,42,25-49,Post-graduate,Female,No,0,8/29/2004,11/6/2006,958,7
171,53,75+,Some high school or less,Female,Yes,2,5/11/2005,5/11/2005,86,1
172,48,50-74,Some high school or less,Female,Yes,2,7/7/2004,8/19/2006,581,6
173,25,25-49,Post-graduate,Female,No,0,5/29/2004,9/30/2006,332,5
174,38,25-49,Some college,Male,Yes,1,8/15/2004,8/27/2006,149,2
175,45,25-49,High school,Female,Yes,2,8/7/2004,7/5/2006,286,3
176,28,25-49,Post-graduate,Male,No,1,1/21/2004,9/27/2006,596,7
177,38,75+,Post-graduate,Male,Yes,0,5/21/2004,10/28/2006,433,6
178,34,25-49,Some college,Male,No,0,3/6/2004,7/31/2006,867,8
179,43,50-74,Some college,Male,Yes,2,3/8/2004,8/27/2005,826,7
180,37,75+,Some high school or less,Male,No,0,1/2/2005,11/26/2006,960,8
181,46,75+,Post-graduate,Female,No,1,3/15/2004,8/19/2005,559,5
182,44,75+,Some college,Female,Yes,2,12/2/2004,5/10/2006,326,4
183,35,<25,College,Male,No,0,10/8/2004,7/14/2005,210,4
184,56,75+,High school,Male,Yes,3,6/15/2004,10/28/2006,960,9
185,15,<25,Some college,Male,No,0,5/22/2004,6/23/2005,674,5
186,58,50-74,Post-graduate,Male,Yes,3,9/19/2004,3/24/2006,255,4
187,36,25-49,High school,Male,No,1,3/18/2004,1/15/2006,242,4
188,33,<25,High school,Female,Yes,1,2/15/2004,3/26/2006,353,3
189,47,75+,Post-graduate,Female,No,2,7/19/2004,9/14/2005,533,5
190,43,75+,Some high school or less,Female,Yes,2,8/10/2004,6/1/2005,94,2
191,48,25-49,College,Male,Yes,3,10/6/2004,7/7/2005,567,5
192,63,50-74,Post-graduate,Male,Yes,3,3/12/2004,10/2/2005,436,4
193,16,25-49,Post-graduate,Female,No,0,4/16/2004,1/15/2006,420,5
194,27,<25,Some high school or less,Male,No,0,5/9/2004,5/27/2005,475,6
195,27,25-49,Some high school or less,Female,No,0,7/5/2004,8/30/2006,172,3
196,50,50-74,Some high school or less,Male,Yes,3,10/3/2004,1/24/2006,490,4
197,31,<25,Some high school or less,Male,Yes,1,2/5/2004,3/5/2005,336,3
198,44,50-74,College,Female,Yes,3,2/11/2004,12/12/2005,1050,9
199,35,75+,Post-graduate,Male,No,0,6/26/2005,8/4/2006,387,4
200,44,75+,Some high school or less,Male,Yes,3,5/3/2005,5/3/2005,219,1
201,65,75+,Some college,Male,Yes,2,6/30/2004,8/16/2005,820,6
202,43,50-74,Some college,Female,No,3,4/18/2004,10/24/2005,664,6
203,17,<25,Some high school or less,Female,No,0,7/15/2004,3/9/2005,552,5
204,55,25-49,Some high school or less,Female,No,1,1/2/2004,8/23/2005,668,5
205,39,75+,Some high school or less,Female,Yes,2,7/26/2004,4/8/2005,94,2
206,21,<25,Post-graduate,Female,No,0,5/24/2004,4/11/2005,549,4
207,46,50-74,High school,Female,Yes,2,1/10/2004,6/20/2006,613,6
208,36,25-49,College,Female,No,0,12/4/2005,12/4/2005,185,1
209,55,50-74,Some college,Female,No,1,6/9/2005,1/13/2006,364,4
210,43,75+,Some college,Male,Yes,0,12/31/2004,8/26/2006,649,4
211,66,75+,High school,Female,Yes,2,9/19/2004,7/31/2006,806,8
212,29,75+,Post-graduate,Male,No,0,6/10/2005,6/10/2005,113,1
213,41,50-74,College,Male,No,0,9/1/2004,10/12/2005,281,4
214,38,50-74,Some high school or less,Male,No,3,1/5/2004,8/28/2005,560,5
215,44,75+,Some high school or less,Female,No,1,7/9/2004,9/9/2005,435,7
216,41,75+,Some high school or less,Female,No,0,5/8/2004,10/21/2005,139,2
217,26,<25,Some college,Male,No,0,4/22/2004,3/19/2005,546,6
218,21,<25,Some high school or less,Male,No,0,5/29/2005,4/25/2006,733,5
219,30,<25,High school,Female,No,0,11/3/2004,9/10/2005,332,3
220,28,<25,Post-graduate,Female,No,0,12/26/2004,3/18/2006,357,4
221,49,75+,High school,Male,No,0,4/16/2004,8/18/2006,544,7
222,35,<25,Some college,Male,No,0,4/2/2004,9/13/2005,602,4
223,37,<25,Post-graduate,Male,No,0,5/18/2004,12/30/2006,876,9
224,53,50-74,College,Male,No,0,6/10/2005,8/12/2005,222,3
225,42,50-74,College,Female,No,0,2/16/2004,9/25/2006,1104,13
226,17,<25,Some college,Male,No,0,9/29/2004,8/4/2006,490,7
227,52,25-49,Some high school or less,Male,Yes,2,3/4/2004,10/8/2005,225,2
228,36,<25,High school,Male,No,0,9/4/2004,6/1/2006,672,7
229,55,75+,Some college,Male,Yes,2,10/9/2004,3/1/2006,462,4
230,56,50-74,Some high school or less,Male,Yes,0,8/25/2005,8/25/2005,43,1
231,64,75+,College,Male,Yes,2,4/21/2005,5/2/2006,254,3
232,41,75+,Some college,Male,Yes,2,7/13/2005,12/30/2005,381,4
233,43,75+,High school,Male,No,0,2/26/2005,10/8/2005,663,5
234,38,75+,Some college,Male,No,0,5/28/2005,5/28/2005,91,1
235,28,<25,College,Male,No,0,10/29/2004,6/7/2005,316,2
236,42,<25,High school,Male,No,0,7/21/2004,9/11/2005,114,3
237,55,75+,Some high school or less,Male,Yes,0,3/24/2005,7/12/2006,826,9
238,50,25-49,Some high school or less,Male,Yes,0,8/10/2004,3/27/2006,654,7
239,62,50-74,Some high school or less,Female,Yes,2,6/13/2004,2/2/2006,366,4
240,23,<25,High school,Female,No,0,5/23/2004,6/18/2006,570,5
241,60,75+,Post-graduate,Female,Yes,2,5/15/2004,7/25/2006,694,6
242,32,<25,College,Female,No,0,12/22/2004,6/23/2006,276,4
243,59,75+,Some high school or less,Female,Yes,0,3/10/2004,8/18/2006,506,6
244,62,50-74,Some college,Female,No,1,8/25/2004,10/25/2006,597,7
245,38,50-74,Post-graduate,Female,No,1,3/30/2004,9/20/2006,472,6
246,56,50-74,Post-graduate,Male,No,0,2/18/2005,2/18/2005,12,1
247,43,75+,Some high school or less,Male,Yes,0,7/1/2004,7/28/2006,225,4
248,64,75+,College,Female,Yes,2,2/10/2004,8/2/2006,541,4
249,26,<25,High school,Male,No,0,7/19/2004,9/22/2005,640,6
250,71,50-74,Post-graduate,Male,No,1,6/1/2004,9/23/2005,224,3
251,44,50-74,Some high school or less,Male,No,0,8/28/2004,8/21/2006,665,8
252,42,25-49,College,Male,Yes,3,5/8/2005,6/28/2006,381,3
253,26,75+,College,Male,No,0,6/2/2004,4/25/2006,343,6
254,36,50-74,Some college,Male,No,0,6/20/2004,9/5/2005,634,6
255,16,<25,Post-graduate,Female,No,0,2/2/2004,4/10/2006,401,5
256,47,25-49,High school,Female,Yes,0,6/21/2005,1/29/2006,274,3
257,29,50-74,College,Male,Yes,0,4/29/2004,5/21/2006,198,5
258,56,50-74,Some college,Female,Yes,3,2/27/2004,5/6/2006,434,6
259,39,75+,High school,Male,No,0,4/12/2004,8/9/2006,314,5
260,39,<25,Some high school or less,Male,Yes,1,2/23/2004,12/5/2005,407,4
261,41,75+,Some college,Male,No,0,7/12/2004,9/10/2006,548,6
262,39,<25,College,Female,No,0,5/25/2004,7/5/2006,425,5
263,40,<25,Some high school or less,Male,No,0,6/26/2004,10/14/2005,673,6
264,62,75+,College,Female,Yes,2,4/18/2005,8/1/2006,425,5
265,58,75+,Some college,Male,Yes,3,6/17/2004,8/21/2005,252,2
266,39,25-49,Some college,Male,Yes,0,1/28/2004,11/16/2005,386,4
267,46,25-49,College,Female,Yes,0,8/5/2004,7/24/2006,658,10
268,55,75+,Some college,Male,Yes,3,8/28/2005,10/30/2006,194,2
269,46,50-74,Some college,Female,Yes,2,1/31/2005,8/2/2006,473,6
270,17,<25,Post-graduate,Male,No,0,1/27/2004,2/7/2006,277,4
271,43,50-74,Some high school or less,Female,Yes,2,6/27/2004,8/2/2006,420,5
272,46,25-49,Some college,Male,Yes,2,7/28/2004,9/6/2006,265,4
273,42,25-49,Some college,Male,Yes,2,3/26/2004,8/20/2006,716,7
274,19,<25,Some college,Female,No,0,4/8/2004,7/27/2006,424,5
275,52,75+,Some college,Male,Yes,0,4/22/2004,4/11/2006,268,5
276,43,75+,High school,Female,Yes,2,9/26/2004,11/28/2005,554,5
277,70,75+,Post-graduate,Female,Yes,2,8/22/2004,12/14/2006,323,4
278,28,25-49,Post-graduate,Female,No,1,5/20/2004,8/19/2005,77,2
279,41,25-49,Some high school or less,Female,Yes,0,1/12/2004,8/22/2006,466,6
280,61,75+,Post-graduate,Female,Yes,0,3/31/2004,7/20/2006,522,5
281,42,50-74,College,Male,Yes,3,2/27/2004,9/20/2005,581,5
282,21,75+,Some college,Male,No,0,3/10/2004,9/3/2005,353,3
283,39,75+,High school,Male,No,0,8/4/2004,10/20/2006,516,4
284,55,50-74,College,Male,Yes,3,2/22/2004,12/10/2006,814,10
285,24,75+,College,Female,No,1,3/20/2005,3/20/2005,79,1
286,34,50-74,Some high school or less,Male,No,0,3/8/2004,8/24/2006,1038,10
287,43,50-74,College,Male,No,3,7/18/2004,8/13/2005,416,5
288,73,50-74,Post-graduate,Female,Yes,2,5/3/2004,3/16/2006,310,4
289,40,25-49,High school,Male,Yes,1,4/19/2004,10/2/2006,377,4
290,49,50-74,Some college,Female,Yes,0,7/22/2004,10/13/2006,447,6
291,49,50-74,Some high school or less,Female,Yes,2,9/7/2004,10/10/2006,371,5
292,18,<25,College,Female,No,0,4/22/2004,8/8/2005,169,2
293,27,50-74,Some high school or less,Female,No,0,4/4/2005,9/20/2006,393,4
294,45,75+,High school,Male,No,0,3/18/2005,7/5/2006,464,3
295,35,50-74,College,Female,No,0,6/16/2004,7/24/2006,779,7
296,36,25-49,College,Female,No,1,7/16/2006,7/16/2006,28,1
297,36,50-74,Some college,Male,No,0,6/23/2004,5/16/2006,615,6
298,25,25-49,Some high school or less,Male,No,0,4/10/2004,8/25/2006,365,4
299,37,<25,High school,Male,Yes,2,5/27/2004,6/16/2006,264,3
300,33,25-49,Some college,Male,Yes,1,6/29/2004,9/25/2006,479,6
301,62,75+,Post-graduate,Female,Yes,2,3/26/2005,4/9/2006,434,5
302,52,75+,College,Male,Yes,3,4/11/2004,2/2/2006,615,5
303,58,75+,College,Female,Yes,2,9/16/2004,11/26/2006,390,5
304,44,50-74,Some college,Female,Yes,2,3/19/2004,8/30/2005,585,6
305,61,75+,Post-graduate,Male,Yes,3,8/29/2004,7/1/2006,298,3
306,23,<25,College,Female,No,0,2/3/2004,4/9/2006,419,5
307,30,50-74,High school,Male,No,0,7/22/2004,8/31/2006,380,4
308,53,50-74,Post-graduate,Male,Yes,2,10/3/2004,10/2/2005,507,6
309,68,75+,College,Male,Yes,2,4/15/2004,8/19/2006,416,6
310,41,75+,Some high school or less,Male,Yes,0,8/19/2004,6/19/2006,332,5
311,51,50-74,High school,Male,Yes,3,4/16/2004,12/2/2006,714,6
312,39,75+,College,Male,No,0,7/18/2004,8/20/2005,631,5
313,49,50-74,Post-graduate,Female,No,2,4/30/2005,5/9/2006,639,6
314,38,75+,High school,Male,No,0,3/2/2004,11/29/2006,834,10
315,34,<25,Some high school or less,Male,Yes,1,5/4/2004,3/15/2006,446,5
316,48,50-74,Some high school or less,Female,Yes,0,6/16/2005,6/4/2006,185,5
317,47,50-74,Some high school or less,Male,No,2,10/5/2005,9/26/2006,234,4
318,53,50-74,High school,Female,No,3,12/18/2004,7/12/2006,885,8
319,21,50-74,High school,Male,No,0,7/29/2005,7/29/2005,39,1
320,17,<25,High school,Male,No,0,12/1/2004,10/13/2005,400,4
321,46,<25,Some high school or less,Female,No,0,6/16/2004,9/23/2006,382,7
322,35,<25,Post-graduate,Male,No,0,4/23/2005,11/17/2006,620,7
323,53,<25,High school,Female,No,0,3/15/2004,7/4/2006,741,9
324,31,50-74,High school,Female,No,2,2/4/2004,7/22/2006,306,4
325,60,75+,Post-graduate,Male,Yes,2,7/21/2004,6/29/2005,211,3
326,25,50-74,High school,Male,No,0,7/10/2004,9/15/2005,437,6
327,53,75+,Some high school or less,Male,Yes,2,5/9/2004,5/31/2006,163,2
328,41,75+,Some high school or less,Male,No,0,8/19/2004,7/11/2006,275,4
329,37,25-49,Some high school or less,Female,Yes,1,4/12/2004,8/31/2006,436,5
330,23,75+,College,Male,No,0,4/28/2004,6/4/2006,350,4
331,50,75+,Some high school or less,Female,Yes,0,2/14/2004,9/5/2005,492,6
332,51,75+,Some college,Female,Yes,0,7/19/2005,10/26/2005,386,3
333,41,75+,College,Female,No,3,10/30/2005,10/30/2005,169,1
