book,author(s),language,first_published,sales,genre
A Tale of Two Cities,Charles Dickens,English,1859,200,Historical fiction
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200,"Fantasy, Children's fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120,"Fantasy, Children's fiction"
And Then There Were None,Agatha Christie,English,1939,100,Mystery
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100,Family saga
The Hobbit,J. R. R. Tolkien,English,1937,100,"Fantasy, Children's fiction"
She: A History of Adventure,H. Rider Haggard,English,1887,83,Adventure
The Da Vinci Code,Dan Brown,English,2003,80,Mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77,Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65,Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65,Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65,Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65,Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65,Fantasy
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65,Fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65,Coming-of-age
The Bridges of Madison County,Robert James Waller,English,1992,60,Romance
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50,Magic realism
Lolita,Vladimir Nabokov,English,1955,50,Novel
Heidi,Johanna Spyri,German,1880,50,Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50,Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50,Children's novel
Black Beauty,Anna Sewell,English,1877,50,Children's literature
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50,"Historical novel, mystery"
The Eagle Has Landed,Jack Higgins,English,1975,50,"War, thriller"
Watership Down,Richard Adams,English,1972,50,Fantasy
The Hite Report,Shere Hite,English,1976,50,Sexology
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50,Children's fiction
The Ginger Man,J. P. Donleavy,English,1955,50,Novel
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45,Children's Literature
Jonathan Livingston Seagull,Richard Bach,English,1970,44,"Novella, Self-help"
The Very Hungry Caterpillar,Eric Carle,English,1969,43,"Children's Literature, picture book"
A Message to Garcia,Elbert Hubbard,English,1899,40,Essay/Literature
To Kill a Mockingbird,Harper Lee,English,1960,40,"Southern Gothic, Bildungsroman"
Flowers in the Attic,V. C. Andrews,English,1979,40,"Gothic horror, Family saga"
Cosmos,Carl Sagan,English,1980,40,"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History"
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40,"Philosophical novel, Young adult"
Angels & Demons,Dan Brown,English,2000,39,Mystery-thriller
Alcoholics Anonymous,William Griffith Wilson,English,1939,37,Self-Help
Kane and Abel,Jeffrey Archer,English,1979,37,Novel
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36,Socialist realist novel
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36,Historical novel
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35,"Fantasy, Children's fiction"
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35,"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature"
Your Erroneous Zones,Wayne Dyer,English,1976,35,Self-help
The Thorn Birds,Colleen McCullough,English,1977,33,Romantic family saga
The Kite Runner,Khaled Hosseini,English,2003,31,"Bildungsroman, Historical fiction"
Valley of the Dolls,Jacqueline Susann,English,1966,31,Novel
How to Win Friends and Influence People,Dale Carnegie,English,1936,30,Self-help
The Great Gatsby,F. Scott Fitzgerald,English,1925,30,"Novel, tragedy"
Gone with the Wind,Margaret Mitchell,English,1936,30,Historical fiction
Rebecca,Daphne du Maurier,English,1938,30,Gothic novel
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30,Fiction
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30,Fiction
The Lost Symbol,Dan Brown,English,2009,30,Fiction
The Hunger Games,Suzanne Collins,English,2008,29,Young adult fiction
James and the Giant Peach,Roald Dahl,English,1961,28,Children's novel
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26,Young adult historical novel
Who Moved My Cheese?,Spencer Johnson,English,1998,28,"Self-help, motivational, business fable, psychology, leadership, parable"
A Brief History of Time,Stephen Hawking,English,1988,25,Popular science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25,Novel
Lust for Life,Irving Stone,English,1934,25,Biographical novel
The Wind in the Willows,Kenneth Grahame,English,1908,25,Children's literature
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25,Self-help
Totto-Chan: The Little Girl at the Window (窓ぎわのトットちゃん),Tetsuko Kuroyanagi,Japanese,1981,25,Autobiographical novel
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24,Novel
The Celestine Prophecy,James Redfield,English,1993,23,New-age spiritual novel
The Fault in Our Stars,John Green,English,2012,23,Young adult romantic novel
The Girl on the Train,Paula Hawkins,English,2015,23,Thriller
The Shack,William P. Young,English,2007,22,Novel
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Russian,1936,21,"Children's Literature, picture book"
The Godfather,Mario Puzo,English,1969,21,Crime novel
Love Story,Erich Segal,English,1970,21,Romance novel
Catching Fire,Suzanne Collins,English,2009,21,"Young Adult novel, adventure, dystopian, science fiction"
Mockingjay,Suzanne Collins,English,2010,20,"Young Adult novel, adventure, war, science fiction, action thriller"
Kitchen (キッチン),Banana Yoshimoto,Japanese,1988,20,Japanese novel
Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,Russian,1957,20,Science fiction novel
Gone Girl,Gillian Flynn,English,2012,20,Crime thriller novel
The Bermuda Triangle,Charles Berlitz,English,1974,20,
Things Fall Apart,Chinua Achebe,English,1958,20,Novel
Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20,Semi-autobiographical novel
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20,Memoir
Jaws,Peter Benchley,English,1974,20,Thriller
Love You Forever,Robert Munsch,English,1986,20,"Children's literature, picture book, fiction"
The Women's Room,Marilyn French,English,1977,20,Feminist novel
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20,Pregnancy guide
Adventures of Huckleberry Finn,Mark Twain,English,1885,20,"Picaresque novel, Bildungsroman, satire, Robinsonade"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20,Young adult novel
Pride and Prejudice,Jane Austen,English,1813,20,"Classic regency novel, romance"
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20,Travel literature
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20,Unfinished satirical dark comedy novel
Where the Wild Things Are,Maurice Sendak,English,1963,20,Children's picture book
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20,Self-help
The Secret,Rhonda Byrne,English,2006,20,Self-help
Fear of Flying,Erica Jong,English,1973,20,Romantic novel
Dune,Frank Herbert,English,1965,20,Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20,Children's fantasy novel
The Naked Ape,Desmond Morris,English,1968,20,"Social Science, Anthropology, Psychology"
