Duration (in seconds),LocationLatitude,LocationLongitude,AW_1,AW_2,AW_3,AW_4,AW_5,ATT_1,ATT_2,ATT_3,USE_1,USE_2,USE_3,USE_4,USE_5,SE_1,SE_2,SE_3,PENJ_1,PENJ_2,PENJ_3,PENJ_4,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,EE_1,EE_2,EE_3,EE_4,PR_1,PR_2,PR_3,PR_4,SI_1,SI_2,SI_3,SI_4,FC_1,FC_2,FC_3,FC_4,BI_1,BI_2,BI_3,Age,Gender,Education,Field_Teaching,Text_Field,Experience,Open_ended
421,41.0817,-74.1863,5,5,4,4,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,3,3,4,2,2,3,3,5,5,5,2,2,4,2,,4,
417,41.0817,-74.1863,4,5,4,4,4,5,4,5,3,3,4,2,3,4,4,4,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,3,4,5,3,3,4,4,3,3,3,4,4,5,5,2,1,4,2,,4,
240,41.0817,-74.1863,4,4,4,4,5,4,4,4,3,3,4,2,3,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,3,3,4,4,3,4,4,4,4,4,4,2,1,4,2,,4,
413,41.0817,-74.1863,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,3,4,3,3,3,4,3,3,3,3,5,5,5,2,2,4,2,,4,
286,41.0817,-74.1863,5,5,5,5,4,4,4,3,2,2,2,4,5,5,4,5,4,4,4,5,4,4,5,5,4,5,4,4,4,4,2,2,2,2,3,4,3,4,4,1,5,5,4,4,4,1,2,1,4,,2,
2572,40.4496,-74.6566,4,4,4,4,4,4,4,4,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,2,2,4,2,,5,"excitement about new technology, increase relevance of course materials to students"
396,40.2152,-74.7471,5,5,5,5,5,3,4,3,1,1,1,1,4,5,5,3,3,4,5,3,4,4,3,3,3,1,4,4,4,1,5,5,5,5,1,1,3,1,1,1,1,1,1,1,1,2,2,4,3,,5,By providing resources that could be tailored to their learning
840,40.0713,-74.8449,4,4,4,4,5,4,5,5,3,3,4,4,4,4,4,5,5,5,5,4,3,3,4,3,5,3,4,5,4,4,5,2,2,5,3,3,1,2,2,1,1,1,4,5,5,2,2,4,10,"Librarian, Education ",5,I think that Generative Ai can create more equity between native English speakers and those who use it as second language. I also thinks AI engaged student but I think they need to look at this technology and/or any technology from a critical lens.
4478,43.7063,-79.4202,4,4,3,2,4,4,5,5,4,3,4,4,5,2,2,4,5,5,5,5,4,5,5,5,4,5,4,4,4,2,4,3,4,5,3,3,2,3,1,1,5,4,5,5,5,1,2,4,2,,4,Eliminating of repetitive work and focusing on novel ideas
1219,43.6911,-79.3353,4,4,4,5,3,4,4,4,4,3,3,2,5,4,3,4,4,5,5,5,4,3,3,2,4,5,4,4,4,4,2,5,4,4,3,3,4,2,4,4,5,4,5,5,5,2,1,4,2,,3,By designing games and providing discussion questions. 
1061,35.584,139.5621,3,4,3,4,5,3,3,2,1,1,1,1,1,4,4,5,1,3,3,2,3,3,4,2,2,3,3,3,4,3,5,3,4,5,2,1,3,2,3,4,4,2,2,4,3,2,2,4,7,,4,
636,40.935,-74.1176,4,3,1,2,5,3,2,2,2,1,3,3,4,5,4,4,2,3,2,3,4,1,2,1,1,1,5,5,5,5,4,5,5,5,3,3,3,4,4,1,3,3,2,3,2,2,1,4,2,,4,
463,40.0305,-74.9528,1,4,1,1,4,1,2,2,1,1,1,1,1,4,4,2,3,4,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,5,1,1,1,1,3,3,1,2,3,3,3,2,2,4,3,,5,"I answered neither agree nor disagree for a number of items because I have no experience using AI. I'm unsure how student engagement could be enhanced with its use, not knowing what it can do.  I "
378,40.5511,-74.4606,4,4,2,2,4,3,3,4,2,2,2,2,3,4,4,3,3,5,3,4,3,4,3,3,3,4,4,4,4,4,5,5,5,5,3,3,3,3,3,1,3,3,3,4,3,2,2,4,3,,5,I work with future educators and practicing teachers. I think studying the tool as we use it and as our K-12 students may use it is important in our work. 
882,41.1341,-73.7831,4,5,5,4,5,5,5,5,3,3,3,1,5,5,5,5,4,5,5,5,4,5,4,3,3,5,5,5,5,4,4,5,4,5,3,3,3,4,5,2,4,4,5,5,5,2,2,4,8,,4,interactive learning experience
686,43.6661,-79.529,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,2,5,5,1,4,3,2,4,4,5,1,4,4,5,5,5,2,2,4,2,,5,"By bringing in new strategies of engagement that teacher did not know before, by helping teacher put forward in language students would understand."
342,-37.7837,175.2824,4,4,3,3,4,3,3,2,1,1,3,1,2,4,3,3,2,2,2,2,2,2,4,3,2,3,3,4,3,3,4,5,4,4,2,3,3,3,2,2,2,2,2,2,2,2,1,2,3,,3,
666,41.9215,-87.6446,4,4,5,4,5,5,4,5,3,3,4,4,5,5,4,5,5,5,5,5,4,5,5,3,5,5,4,4,3,3,4,2,2,4,3,4,2,3,4,2,3,5,5,5,5,2,2,4,2,,4,"By breaking down language barrier, ease of verifying basic 'facts', allow us to focus on knowledge creation with students instead of transferring facts, enables productivity boost in basic tasks so that students can engage in higher value parts of classroom experience, forces faculty to think more about activities that tranform student lives, able to deploy more learning by doing instead of learning by memorizing.  "
744,53.8258,-1.5205,4,4,4,4,4,4,4,4,1,1,1,1,4,4,2,1,2,4,4,4,2,1,1,1,1,1,4,4,2,4,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,4,2,,3,NA
436,40.7428,-73.9712,5,5,4,4,5,5,5,4,4,4,2,3,2,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,5,5,2,2,1,4,1,1,1,1,3,3,3,2,2,4,5,,4,
609,40.7428,-73.9712,5,5,3,4,5,4,4,5,2,1,3,1,4,4,4,4,4,3,2,2,3,1,3,1,1,4,4,4,3,2,5,5,5,4,4,4,4,3,1,1,2,1,4,4,4,2,1,4,2,,3,I don't use Generative AI in my classroom
395,40.2152,-74.7471,3,3,2,2,4,3,2,3,1,1,1,1,1,4,3,2,,1,,,3,1,1,3,3,3,,,,,5,5,5,5,3,3,3,3,3,3,3,3,3,2,3,3,4,4,2,,5,
304,43.1601,-87.9944,3,2,2,3,4,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,5,5,5,2,2,1,2,3,3,4,4,1,1,1,1,1,4,2,,4,
458,39.8461,-75.2044,5,5,5,5,5,5,5,5,3,3,2,2,2,4,4,4,4,5,5,5,4,4,4,3,4,4,4,5,4,4,3,2,2,2,5,5,5,5,5,4,4,4,4,4,5,1,1,4,4,,5,
2676,51.3997,-0.2515,4,4,4,4,4,5,5,4,3,2,4,2,3,5,4,4,5,5,5,5,5,5,5,3,4,4,4,4,5,4,4,2,3,3,3,4,3,3,3,4,4,4,5,4,4,1,1,4,2,,4,
951,40.8022,-74.1914,5,3,4,4,3,3,3,2,1,1,1,1,1,5,5,5,3,2,1,2,3,1,1,1,1,2,3,3,3,3,3,3,3,4,1,1,3,3,3,3,3,3,3,3,2,3,1,4,2,,5,
501,39.8918,-74.8925,2,2,2,1,2,4,4,4,1,1,1,1,1,5,3,4,3,3,3,3,2,3,3,3,1,3,3,3,3,3,5,4,4,4,1,1,1,1,3,3,3,3,3,4,3,3,1,4,1,,5,
485,36.1021,-97.0636,2,4,1,2,5,4,4,3,1,1,2,2,2,3,2,2,3,4,4,3,4,4,3,2,4,4,2,2,3,3,5,5,5,5,3,4,3,3,3,3,2,3,4,4,3,2,1,4,4,,4,
473,40.325,-74.2682,1,1,1,1,1,4,4,4,1,1,1,1,1,2,1,1,2,4,4,3,2,2,4,3,3,4,1,4,2,2,4,2,2,4,3,3,3,3,2,2,4,4,4,4,2,2,1,4,2,,5,No idea
247,40.2104,-74.8278,5,4,4,5,4,4,3,5,3,4,3,2,4,5,3,4,4,5,5,5,5,4,4,3,3,4,4,4,4,4,5,4,5,5,3,3,3,4,3,3,3,3,4,4,4,3,2,4,2,,5,
254,40.2104,-74.8278,4,4,4,4,4,3,4,4,1,1,1,1,1,4,4,4,4,4,1,3,4,4,1,1,4,4,3,4,4,3,5,5,5,5,2,4,3,3,3,3,4,4,4,4,4,2,2,4,2,,5,
298,40.0782,-75.1299,3,3,3,3,4,4,3,2,1,1,1,1,3,4,3,3,2,4,3,2,2,3,4,2,2,3,3,4,3,2,5,5,3,4,2,2,3,4,1,1,1,1,3,3,3,2,2,4,2,,5,
293,37.661,126.8324,3,4,4,2,4,4,4,4,2,2,3,2,2,3,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,5,5,5,5,4,4,4,4,3,3,4,2,4,4,4,1,2,4,2,,2,I believe it will definitely increase engement in the classroom
309,40.2152,-74.7471,5,5,5,5,4,5,5,5,3,3,4,4,5,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,1,1,4,4,,2,
827,37.7506,-122.4121,4,4,3,4,5,4,4,3,1,1,2,1,3,5,4,3,3,3,3,3,2,2,2,2,4,4,5,5,5,5,5,5,5,5,1,1,1,1,3,4,2,2,2,2,2,1,2,4,8,,4,"I don't think students should use Generative AI tools in my classes because students must train their critical thinking. We shouldn't ask Generative AI to think for students. However, in advanced classes (400+), for these open and unsolved questions, maybe I can give it a try to guide students to use Generative AI."
1195,40.2687,-74.8243,4,4,4,4,5,3,4,4,1,3,3,1,3,5,5,5,3,5,4,4,1,4,3,1,1,4,5,5,5,5,5,5,3,5,3,3,4,5,3,3,5,4,4,4,4,3,2,4,2,,5,Maybe
696,39.9528,-75.1646,4,4,4,4,4,4,5,5,1,1,1,1,5,5,4,4,3,5,5,5,3,4,4,3,3,3,5,5,5,4,2,3,3,4,4,4,3,5,3,4,4,4,5,5,5,3,1,4,2,,5,"Providing experimental opportunities for hands-on work to generate results (in Excel, for example) so students can see what is possible."
279,45.5154,-73.5822,4,5,4,3,4,5,5,5,4,4,4,2,4,5,4,5,5,4,4,4,5,4,5,4,4,4,4,4,4,4,3,4,3,3,2,4,3,2,4,2,2,2,5,4,5,1,1,4,2,,5,significantly enhance
441,40.185,-75.0041,1,3,2,2,3,3,3,4,1,1,1,1,1,3,3,2,3,4,3,4,4,3,3,3,2,3,3,3,3,3,4,4,3,5,3,3,3,3,2,1,3,2,4,4,4,2,2,4,6,,5,
997,40.3952,-74.766,4,4,4,3,4,2,2,2,1,1,1,3,1,4,4,4,1,5,4,2,1,1,1,4,4,2,4,4,4,4,4,3,3,5,1,1,3,2,4,1,4,4,4,4,4,2,1,4,8,,5,"I am not sure how the AI tools could enhance student engagement in the classroom. At this time there are mathematical errors and deficiencies in the Generative AI tools. In the future, when the AI tools are improved, I think the AI tools could enhance teaching mathematics."
312,46.4799,-80.9232,3,3,3,3,3,4,5,5,2,2,3,1,1,2,2,4,3,4,4,3,3,3,4,3,2,3,4,4,4,3,2,2,3,4,3,3,2,2,3,1,2,2,4,4,4,1,1,4,2,,4,
275,55.9737,-3.2269,4,4,4,3,4,4,4,4,3,3,3,3,2,4,5,4,3,3,4,4,3,3,2,3,4,3,4,4,4,5,5,5,4,5,3,4,3,3,3,3,4,3,4,4,3,1,2,4,2,,4,
227,40.2152,-74.7471,4,4,4,4,4,2,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,2,2,2,1,3,2,2,2,2,2,2,4,2,,5,
277,45.748,4.85,4,4,4,4,4,5,5,5,3,3,3,3,3,5,4,5,4,3,4,3,3,4,3,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,2,,3,
400,40.734,-74.0712,4,4,3,4,4,4,3,3,1,4,3,1,3,4,3,3,3,4,3,3,2,2,2,2,2,2,3,3,3,3,5,5,5,5,3,3,3,3,3,2,4,4,4,4,4,2,4,4,2,,4,primarily access to breadth of knowledge at enhanced speeds
442,40.5175,-74.3991,5,5,5,5,5,5,5,5,2,1,1,2,2,5,5,5,2,3,4,4,4,4,4,4,4,4,5,5,5,5,4,3,2,4,3,3,4,4,5,5,5,5,5,4,5,2,1,4,2,,4,By defining better curriculum that is centered around AI
413,40.8148,-74.1378,5,5,5,3,4,5,5,5,2,3,3,2,5,5,5,5,4,5,5,5,4,4,5,5,3,4,5,5,5,2,3,4,3,4,3,3,3,4,4,1,2,2,5,5,5,2,1,4,2,,5,"By allowing students to generate better, more creative content. "
238,41.1893,-74.0432,4,4,3,2,4,2,2,1,1,1,1,1,1,4,3,3,1,1,1,1,2,2,1,1,1,1,3,4,4,3,5,5,5,5,2,1,3,1,1,1,1,1,1,1,1,2,1,4,7,,5,
436,41.5097,-73.9634,4,2,4,5,5,2,1,1,1,1,1,1,1,3,3,3,1,1,1,1,4,1,1,2,1,1,3,3,3,3,3,5,4,5,3,1,3,1,3,3,3,3,1,1,1,2,1,2,1,,5,I don’t.
320,40.8231,-73.9513,5,5,5,3,5,4,4,4,4,3,3,3,3,5,5,5,4,4,4,4,5,4,4,4,2,4,4,5,5,5,4,5,1,5,3,3,3,1,1,2,1,2,5,5,5,1,2,4,1,,4,N/A
348,40.9867,-74.0597,4,4,4,4,4,4,4,4,4,3,2,3,3,4,2,4,4,4,4,4,4,4,3,3,3,4,4,4,3,2,4,3,3,5,3,3,3,3,2,3,3,3,4,4,4,2,2,4,2,,5,
308,40.9098,-74.6585,4,4,2,2,4,3,4,4,3,3,1,2,3,2,2,3,3,5,4,3,4,4,3,4,3,3,3,4,3,3,5,5,4,4,3,3,3,3,3,2,3,3,4,3,3,3,2,4,5,,5,Not sure new.  But I have used it to assist with case study creation 
464,40.9451,-74.2531,2,4,2,1,4,4,4,4,3,2,3,1,3,4,3,2,4,4,4,3,4,4,4,4,4,4,3,3,2,3,3,3,3,3,2,3,2,2,2,2,2,2,4,4,4,2,2,3,5,,5,
383,40.7869,-74.2535,5,4,3,3,4,3,3,4,2,4,1,1,1,2,3,4,4,2,1,2,4,2,1,3,3,1,3,4,3,1,5,5,5,5,4,1,3,1,1,3,1,2,4,4,4,2,2,4,1,,5, I am encouraging the use of AI for writing second drafts(after they have written their own already). I have a feeling in the future we will all be merging AI text with our original texts.
2280,41.0817,-74.1863,5,5,5,4,4,5,4,5,3,2,3,4,5,4,4,5,4,5,5,4,4,4,4,4,5,4,5,5,5,5,5,4,3,4,3,4,4,3,5,3,4,4,4,4,4,1,1,4,4,,5,"Interactive Learning Materials, Real-world Applications, "
362,40.9124,-74.4113,4,2,3,4,5,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,5,1,1,1,1,3,3,5,5,1,1,1,5,4,4,7,,5,"Don’t think it will,"
404,40.793,-74.0247,5,3,4,5,5,1,3,2,1,3,1,1,3,5,5,5,1,1,5,1,1,3,1,3,1,1,5,5,5,4,3,5,5,5,3,2,3,2,1,3,5,5,4,4,4,2,1,4,1,,5,"I only have one assignment that uses generative AI, and the assignment asks the students to talk about the tool itself in relation to ideas about authorship."
339,40.8518,-73.8705,4,3,3,2,3,2,2,2,1,3,2,1,1,3,2,2,2,2,2,2,2,3,4,2,3,2,3,3,3,2,5,5,4,5,3,3,4,2,2,2,3,3,2,2,3,2,1,4,3,,5,I show my students how to use chatgpt to create lesson plans or get ideas for lesson plans.
14776,41.0916,-74.3719,2,2,1,1,4,2,3,2,1,1,1,1,1,3,2,2,2,2,2,2,1,3,3,3,3,3,2,3,3,2,4,3,3,4,2,4,3,2,2,2,2,2,2,2,2,2,1,4,6,,5,Still unknown.
459,42.1815,-71.3011,5,5,4,5,5,5,3,5,1,1,1,1,5,5,5,4,3,5,5,4,2,2,2,3,3,3,5,5,5,4,4,3,5,5,1,1,3,3,4,4,3,4,2,2,2,3,1,2,2,,4,"While I use AI in my business to help guide short memos, I am firmly opposed to my students ultilising in the classroom and assignments."
482,41.0911,-73.9199,2,3,1,4,5,3,4,4,1,1,1,1,1,5,5,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,3,1,4,2,,5,I don't know.
505,40.9241,-74.514,3,4,2,1,4,4,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,5,1,1,1,1,3,3,3,3,1,1,1,1,1,4,2,,5,"Google searching (and similar engines) have made 'research' too easy and, more importantly, too lazy. I fear AI will add the extra flare to writing, research, design, etc. that will in turn make the student brain even lazier, and less equipped to solve on their own. Too much reliance on tech makes the individual too reliant on tech. They will become worse because of it (my thoughts). I've been teaching quant-like courses for 14 years and the ability to think has eroded. I graduated undergrad <20 years ago, and the difference in my cohort (we had internet and search engines) is much different from the students now. They were born with tech that lets them send video messages with their faces replaced by toasters that vomit rainbows, but they don't know how to calculate a simple percent change? The robots will win...."
235,40.8802,-74.292,5,3,5,3,5,1,1,1,1,1,2,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,5,1,1,1,1,3,3,5,2,1,1,1,1,1,4,9,,4,I do not think using AI will enhance student engagement
356,41.0496,-73.7782,4,4,3,3,4,3,2,3,2,3,2,2,3,3,2,4,3,3,3,3,4,2,3,3,4,3,3,4,3,2,3,4,4,4,3,3,3,3,2,2,2,2,4,4,4,2,2,4,9,,5,"Help students jumpstart papers, research projects, etc."
386,42.8482,-73.7863,5,5,5,4,5,4,4,4,2,3,2,4,4,5,5,5,4,5,5,4,3,4,3,4,3,5,5,5,5,5,5,5,4,5,3,3,3,3,5,3,4,5,4,4,4,2,2,4,8,,5,"Already used in many software products from textbook companies, also in ethics and draft writing."
493,41.2632,-74.3767,4,4,1,2,5,2,2,2,1,2,1,1,1,2,1,1,3,3,3,3,2,2,2,2,2,2,3,3,3,3,1,1,1,1,3,3,3,2,2,2,1,3,2,3,2,3,1,4,1,,5,I wonder if generating rough drafts or outlines using AI might help some students.
212,40.9163,-73.7898,4,4,4,4,5,3,4,2,1,3,3,3,3,4,5,5,3,2,3,2,2,2,2,2,2,2,4,4,4,3,2,2,2,2,1,1,3,3,3,3,3,3,3,3,3,2,2,2,2,,5,
308,40.8125,-74.2134,4,4,3,2,5,3,2,2,2,2,2,2,2,3,2,2,3,3,3,2,3,3,3,2,3,3,3,4,3,3,4,5,3,4,3,3,3,2,2,2,2,2,2,2,2,1,2,4,7,,5,
263,40.942,-75.0521,4,4,4,4,4,2,2,3,1,1,1,4,1,3,4,3,2,3,2,1,2,1,1,3,2,1,2,3,3,3,2,3,2,5,3,3,3,3,2,3,3,3,4,4,4,2,2,4,6,,5,enhance critical thinking / information literacy
291,41.0817,-74.1863,2,3,1,1,2,1,1,1,1,1,2,1,1,3,2,3,2,1,1,1,2,1,2,1,1,1,3,3,3,3,5,5,5,5,4,4,5,5,3,3,3,3,2,3,2,5,4,4,2,,5,
376,41.0817,-74.1863,4,5,4,4,5,5,4,5,2,1,1,1,4,4,3,4,3,5,5,5,3,4,4,3,3,4,4,4,4,4,5,5,5,3,4,4,4,4,4,4,3,4,4,4,4,1,2,4,2,,2,
367,40.7828,-73.9745,3,3,1,1,4,1,1,1,1,1,3,1,1,5,5,5,3,1,1,1,1,1,2,1,1,1,5,5,5,3,5,5,5,5,3,3,3,3,3,2,2,2,1,1,1,5,4,5,2,,5,"Not at all. It is likely to have the opposite effect, especially if it reduces instructor originality in pedagogy design."
539,33.8229,-84.3535,5,5,5,5,5,4,4,5,5,4,5,5,5,5,2,4,4,4,4,4,4,3,5,4,1,4,3,2,4,4,4,2,2,5,2,4,1,1,1,1,1,4,5,5,5,1,2,4,2,,1,
1122,42.3388,-71.0726,5,4,4,4,3,4,4,4,3,3,3,2,3,5,5,5,4,5,5,4,5,5,4,2,3,5,5,5,5,5,5,2,3,4,3,3,3,5,4,1,3,2,5,5,5,2,2,4,2,,5,"I use LLMs (Generative AI tools) to aid in creation of material for my courses. I also have the students utilize Generative AI for course work. I have students fact checking information created by Generative AI, I also recommend that students can use it for coding and debugging of code. "
321,41.0817,-74.1863,4,4,4,4,3,4,3,3,2,2,2,1,2,4,4,4,4,4,5,3,4,4,3,2,1,3,5,5,4,4,4,5,4,5,3,3,1,4,1,1,1,3,4,4,4,2,2,4,2,,5,
18,29.9734,-90.0885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,40.9864,-74.1112,4,4,4,3,3,5,5,5,3,2,2,2,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,1,1,4,3,3,3,4,2,2,2,2,4,4,4,2,1,4,2,,5,Allowing students to complement their research and creative work.
320,41.0817,-74.1863,4,5,4,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,1,1,4,4,3,3,3,3,4,4,4,5,5,5,5,2,1,2,2,,4,
409,41.0817,-74.1863,2,4,1,1,4,3,4,4,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,1,4,4,3,2,3,5,5,5,5,3,3,3,3,1,1,1,1,3,3,3,3,2,4,2,,5,
957,41.2846,-73.8904,1,1,2,1,4,3,3,4,1,1,1,1,1,3,2,3,3,3,3,3,2,2,3,1,3,3,,,,,5,4,5,5,1,1,1,2,1,1,1,1,3,3,3,3,1,4,2,,5,"Not sure.  If this technology is a very fancy ""knowledge/internet scraper"", I'm doubtful about its prospective utility in our working academic lives.  Many students lack basic ""number sense"" because their experiences with numbers and symbols are too medicated by ""black boxes"" such as software.  Learning to play the violin or understand statistics must involve more engaging tactile experiences.  Welders, carpenters, and surgeons use technology to enhance their skills that are PREDICATED on extensive and repetitive tactile experiences.  I see AI will result in very uneven teaching and research results, such that those with good ""right brain"" skills for STEM topics will enhance earnings inequalities with more ""left brain"" disciplines such as the humanities and arts.   "
801,41.0817,-74.1863,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,3,3,1,3,1,2,1,1,2,1,1,1,3,5,5,5,5,3,3,3,3,1,1,2,2,1,2,1,3,1,4,2,,5,
702,40.7424,-74.0325,4,4,2,4,4,4,4,3,1,1,1,1,1,5,4,2,3,4,4,3,3,3,3,2,2,2,3,3,4,4,2,2,5,5,1,1,4,3,3,4,5,5,2,4,2,1,1,4,2,,4,I believe generative AI tools could create interesting cases for students to work through.
640,40.8271,-73.9359,4,4,3,2,4,4,3,3,1,3,1,1,3,5,4,5,3,4,3,3,4,4,4,3,2,4,4,4,4,4,2,2,3,5,1,1,1,1,3,1,4,2,4,4,5,3,2,3,2,,5,"Practical, useful tool for the business world"
678,41.1144,-74.0429,5,5,5,5,5,5,5,4,1,3,2,1,2,5,5,5,3,5,4,3,4,4,4,3,3,5,5,5,5,4,2,3,4,3,3,3,3,3,5,3,4,5,5,5,5,2,1,4,4,,5,
321,40.7547,-73.9614,2,2,2,2,2,4,3,3,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,5,5,5,5,3,3,4,2,3,3,2,2,2,2,2,2,4,4,11,,5,
780,40.9451,-74.2531,5,4,5,5,4,5,5,5,3,3,3,2,3,5,5,4,5,5,5,5,4,4,4,3,4,4,5,5,5,2,4,2,2,2,1,3,3,5,5,1,5,5,4,4,5,3,2,2,10,Communication Design,5,"Ideation, speculative design, speculative futures, code assistance and generation"
442,41.0817,-74.1863,3,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,3,1,4,7,,5,
552,33.9541,-81.1422,1,1,2,1,5,1,1,1,3,3,3,3,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,2,2,2,2,2,5,5,5,3,2,4,2,,5,To engage in more learning opportunities and earn MS Excel credential badges to list on students’ resumes and LinkedIn accounts.
363,34.1416,-80.8886,4,4,4,4,4,4,5,5,2,3,3,2,3,5,4,4,4,5,5,4,3,5,3,3,3,4,4,4,3,3,3,4,4,5,3,3,3,3,4,4,4,4,5,5,5,3,2,3,2,,5,
499,40.7182,-74.0476,4,4,3,2,4,4,4,3,1,1,3,1,3,4,4,4,3,4,3,3,4,4,4,2,3,4,3,4,3,3,3,4,4,4,1,2,2,2,3,4,4,4,3,3,3,2,2,4,6,,3,Not sure. 
391,40.9365,-74.0132,4,4,3,3,4,3,3,3,2,2,2,1,2,4,4,4,3,3,3,3,3,3,3,2,2,2,4,4,4,4,4,4,4,4,1,1,3,2,4,4,4,4,3,3,3,2,1,4,6,,5,
4269,41.0817,-74.1863,1,1,1,1,5,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,5,5,5,5,4,3,5,5,2,3,1,2,1,4,1,1,2,2,10,Library- Information Literacy,5,"During an information literacy session, it could show them examples of how to plagiarize, and steal other people's ideas and data."
