Duration (in seconds),LocationLatitude,LocationLongitude,AW_1,AW_2,AW_3,AW_4,AW_5,ATT_1,ATT_2,ATT_3,USE_1,USE_2,USE_3,USE_4,USE_5,SE_1,SE_2,SE_3,PENJ_1,PENJ_2,PENJ_3,PENJ_4,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,EE_1,EE_2,EE_3,EE_4,PR_1,PR_2,PR_3,PR_4,SI_1,SI_2,SI_3,SI_4,FC_1,FC_2,FC_3,FC_4,BI_1,BI_2,BI_3,Age,Gender,Education,Field_Teaching,Text_Field,Experience,Open_ended,Q19
708,50.429,-104.5341,2,1,3,2,3,4,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,,5,It won't ,3
1230,38.5423,-89.9588,4,4,4,3,4,3,4,3,3,3,2,3,2,5,3,4,4,3,4,4,4,3,4,4,3,3,3,4,4,3,4,4,3,4,2,4,3,4,4,3,4,3,4,4,4,1,1,4,6,,5,The possible to generate better pot slide and image ,3
2301,40.793,-74.0247,5,5,5,5,4,5,5,5,3,3,4,3,5,5,5,5,3,5,4,4,3,3,3,3,3,5,5,5,5,1,3,4,4,4,1,1,1,1,5,3,4,5,3,3,3,1,1,1,4,,3,,3
389,43.7489,-79.4422,5,5,4,4,5,1,2,3,2,2,2,2,2,5,5,5,2,2,2,2,2,2,2,2,2,3,3,2,2,1,5,5,5,5,1,2,1,1,4,3,2,2,1,2,2,1,2,4,5,,3,I’m not sure they coul,4
561,51.0406,-114.0764,4,4,4,5,4,2,3,2,3,3,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,2,1,7,,3,They will become more confident and have the ability to succeed in the future.,4
198,46.3978,-63.7825,4,4,2,2,2,3,2,3,2,3,3,3,4,4,3,4,2,3,3,5,2,1,2,4,4,2,4,4,3,3,4,3,3,4,2,4,4,2,4,4,3,2,4,3,3,2,2,2,11,,3,Easily,1
205,43.8189,-71.059,5,5,5,5,5,5,5,5,4,3,3,3,3,4,3,3,5,4,4,4,5,5,5,5,4,4,5,5,5,4,4,5,4,4,3,3,3,3,4,4,4,4,4,4,4,1,2,1,3,,2,students may be more eager to try these things out as its new and exciting,3
212,35.1996,-84.8525,2,3,1,3,3,3,1,3,3,3,1,5,4,1,2,3,2,3,1,4,4,4,3,3,4,2,2,3,4,1,4,3,2,4,3,2,3,4,4,3,1,4,5,3,4,1,1,1,4,,3,I think more hands on learning is ideal for our future.,2
1785,52.1413,-106.6076,4,5,4,5,4,4,5,4,2,3,3,3,2,4,5,4,4,3,3,4,4,3,4,4,3,5,4,3,4,4,4,4,3,5,4,3,3,2,4,3,4,3,4,3,5,1,1,2,2,,2,These days students are interested in technology so using AI is one of the things that attracts them,3
130,39.1094,-84.5718,4,2,3,3,3,2,4,2,4,4,4,4,5,4,4,3,4,4,4,4,5,4,4,4,4,4,4,5,4,3,5,2,4,4,3,4,3,5,4,4,3,4,5,4,2,1,1,1,8,,3,Exceptional service ,2
294,45.5191,-73.462,4,4,4,4,4,4,4,3,3,2,2,3,2,4,4,4,3,3,3,2,3,4,3,3,2,3,3,3,3,4,5,3,4,3,2,3,3,3,4,2,2,3,3,2,2,2,1,2,5,,5,GOOD OR BAD WE ARE NOT YET THERE,2
261,43.2262,-79.8621,4,4,3,4,3,3,3,4,3,3,2,3,3,3,3,3,4,4,3,3,3,4,4,3,4,4,3,3,4,3,3,3,3,3,5,4,4,5,3,3,5,3,4,4,3,1,1,3,7,,3,its the future so i think everyone should learn how to use it and understand it ,3
279,38.9307,-77.1673,4,4,4,5,4,3,3,4,1,1,1,1,1,3,3,3,2,2,2,3,2,3,3,3,4,3,2,2,3,3,5,5,5,5,3,3,4,3,3,2,2,2,2,2,2,3,1,4,5,,5,It may aid in background research,1
402,45.5599,-73.5691,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,3,5,5,5,5,5,5,5,5,5,5,2,1,2,4,,5,Students always use Generative AI for learning process ,1
340,45.7283,-73.7071,4,4,3,3,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,2,3,4,4,3,4,4,4,4,4,4,4,1,2,3,3,,5,More interactive and fun for student,3
204,38.3792,-75.6307,4,5,4,5,4,4,3,5,4,5,4,5,4,4,5,4,4,4,3,5,4,5,4,5,5,4,4,5,4,1,3,2,1,1,5,4,5,4,5,5,5,5,4,5,3,2,1,2,3,,5,It would help them focus on leadership skills in the industry ,1
413,48.7808,-123.7037,4,4,4,4,4,2,4,4,3,3,4,2,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,2,4,4,2,4,3,4,3,3,1,2,1,,5,"Using AI  they can use computers to help put together pieces of history from a great many sources and help formulate a reasonable hypothesis of events , quicker and more efficient than by hand",1
578,43.8018,-79.3581,4,4,3,2,3,3,4,3,2,2,1,2,2,2,2,4,3,4,3,3,4,4,4,3,4,4,3,3,3,3,4,4,3,3,3,3,4,3,2,1,2,2,3,4,4,2,2,3,5,,5,Help generate order in structure of research and search strategies,3
154,32.7368,-96.9068,3,3,3,3,3,2,3,3,1,1,1,1,1,1,3,3,1,1,3,3,1,1,1,3,3,3,1,1,1,1,5,5,5,5,1,1,1,1,1,3,3,3,1,1,3,2,2,1,3,,5,It wont,1
333,32.2871,-90.2306,4,3,2,3,4,2,3,2,2,2,2,1,1,4,4,4,2,2,3,2,3,3,3,3,4,3,4,4,4,4,4,5,3,4,3,3,3,3,4,2,3,4,3,3,3,2,2,3,8,,5,by providing real-time student data on assessments and recommending course of action for remediation,4
262,43.1234,-77.7334,1,1,1,1,1,3,3,3,1,1,1,1,1,4,4,2,3,2,3,2,3,3,3,3,2,3,3,3,3,3,4,4,5,4,3,3,3,3,2,1,2,1,1,1,1,2,1,2,1,,3,I am not very familiar with Generative AI Tools,4
284,42.3465,-85.2185,4,4,4,3,3,4,5,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,2,3,4,4,4,1,1,1,2,,2,Get students to ask more insightful questions ,3
358,40.7641,-74.1654,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,5,5,4,5,4,4,5,4,4,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,2,1,2,4,,4,"This tool helps me beyond measure, it helps me throughout the day ",2
587,25.9436,-80.2264,3,3,3,3,5,4,4,4,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,2,4,4,5,5,3,3,4,4,5,5,5,4,2,2,5,,5,It will allow for better use of time as AI takes a majority of contextual work.,4
268,33.3661,-111.9345,3,3,4,5,2,2,2,2,5,3,2,4,4,3,5,4,2,4,5,5,3,3,4,3,1,1,3,4,2,4,4,4,5,4,3,4,2,5,2,3,1,4,3,4,4,1,1,2,5,,4,It saves time.,2
423,49.9514,-97.1133,5,5,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,3,4,4,5,5,5,5,5,5,5,5,3,2,4,1,4,3,4,4,4,4,4,2,2,4,2,,5,I'm not sure that my answer is the one who seem to be hinting at wanting. We are divided both within my department and across other departments in evaluating the necessity of increasing AI. ,1
322,38.6096,-121.4443,5,5,4,5,5,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,5,4,5,4,5,5,4,5,4,4,3,3,4,3,4,4,4,4,4,4,5,5,4,4,4,2,1,1,7,,2,It could answer simple questions that individuals may have and reduce rime spent on simple tasks,4
250,32.5618,-88.8777,3,2,2,1,2,5,1,3,4,3,2,2,4,3,2,2,3,1,2,4,4,2,2,4,2,2,4,2,2,3,5,2,2,4,4,3,2,2,3,2,5,1,4,2,2,1,2,1,6,,4,i like it ,1
261,33.8019,-84.3861,4,5,4,5,5,4,4,4,5,4,4,3,4,5,4,5,4,4,4,5,5,4,5,5,4,4,5,5,4,4,5,5,4,4,4,4,5,4,5,5,4,5,5,4,4,2,2,2,2,,2,AI help students prepare for exams ,4
375,33.9422,-118.0347,4,4,4,4,4,1,1,3,1,1,1,1,1,5,4,3,3,3,3,1,1,1,3,1,1,1,5,5,5,5,3,5,5,5,1,1,3,1,2,1,4,3,1,1,1,3,1,4,6,,5,Students prefer to interact with humans and human-generated content.,1
197,28.8064,-81.8869,5,5,5,4,5,5,5,4,5,4,5,5,4,5,5,4,5,5,5,4,4,5,5,5,4,5,4,5,5,2,1,2,1,1,5,4,5,5,5,5,5,4,4,5,5,2,1,2,4,,3,Chat gpt is the future to teach and learn,3
134,34.4179,-117.3064,3,4,3,3,4,3,2,3,3,3,3,3,3,2,2,2,3,2,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,3,2,3,3,2,2,3,3,2,2,3,3,1,2,3,3,,4,Have no idea,4
368,31.7703,-106.3006,4,4,2,3,4,2,3,4,1,3,1,1,1,2,2,4,5,4,4,4,2,4,1,1,4,4,4,3,3,2,4,5,4,5,3,2,2,2,2,2,2,2,4,4,4,1,2,2,1,,1,I teach poetry and it's fun to give bing chat gpt the same in class prompt as the students.,4
162,42.1297,-80.0624,5,5,5,5,5,5,5,4,4,4,3,4,4,5,5,4,5,5,5,4,5,5,4,4,5,5,3,5,5,5,1,1,2,2,5,5,4,4,5,5,4,5,5,5,4,2,2,1,4,,3,If you have any questions or concerns please feel free ,1
513,43.7922,-79.1523,5,3,4,4,5,5,4,4,5,4,5,5,5,4,3,4,5,4,4,5,5,2,5,5,5,5,5,5,4,2,5,4,5,4,5,5,5,3,5,4,3,5,4,5,4,1,2,3,5,,2,Limit the use but use it for fun ,3
168,41.8883,-87.7613,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,1,1,8,,2,It can help them better understand the lesson that is being taught ,1
380,43.9228,-78.8693,4,4,5,4,4,4,4,5,5,4,3,4,4,4,4,5,4,5,3,4,5,4,4,5,4,5,4,4,4,4,5,4,4,4,4,4,3,4,4,4,5,4,3,5,4,1,2,1,8,,3,It can make creative project for student to to do in class which can be beneficial for incorporating several components of the curriculum. ,1
285,45.1563,-113.8886,4,4,4,4,5,5,5,4,4,3,4,3,4,4,4,4,5,5,5,5,5,4,5,4,3,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,2,1,2,2,,4,It’ll get them too be more involved and hands on if they have more confidence,1
301,41.9215,-87.6446,5,5,4,5,5,4,3,2,1,1,4,3,4,3,3,4,3,4,2,2,4,3,3,3,2,3,4,4,3,1,5,5,5,5,2,2,2,1,4,4,5,4,2,3,3,2,2,3,2,,2,"I think that using generative AI to create ""gamified"" assignments that encourage student engagement with the material and promote healthy competition could help to create more retention and understanding.",4
109,43.5639,-79.7172,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,3,4,2,5,3,5,3,4,4,4,5,4,4,5,4,3,4,5,2,4,4,4,3,4,2,2,2,8,,4,It saves time ,3
186,43.648,-79.4141,4,4,4,2,3,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,3,5,5,5,3,2,4,2,2,1,4,2,1,1,1,1,2,2,5,,2,I really don't see a benefit,4
607,33.8019,-84.3861,1,3,3,4,3,2,4,4,2,2,2,2,2,2,5,3,3,2,2,2,3,4,3,4,4,4,4,4,4,4,3,3,4,4,2,1,1,1,3,2,2,2,4,3,3,1,1,1,1,,3,I dont think it willl,4
419,29.675,-95.486,3,4,5,5,4,5,5,5,4,4,3,4,4,4,4,4,5,4,5,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,1,4,5,4,4,4,5,4,5,5,2,2,2,2,,3,Very good ,2
364,42.5144,-90.693,5,4,4,3,4,2,3,2,1,2,1,1,2,5,4,3,3,4,3,2,3,2,2,3,1,2,4,4,4,3,5,5,5,4,4,1,3,1,3,1,1,4,2,1,2,2,1,2,1,,5,I think it could be beneficial in generating immediate feedback in asynchronous online courses.,2
266,43.4325,-80.4995,2,2,1,2,1,1,2,1,2,2,3,4,3,4,5,4,4,5,4,5,5,5,4,4,5,5,4,5,4,4,5,5,4,4,2,2,2,4,4,2,4,3,4,4,3,1,1,4,9,,2,It could streamline the learning system and help tailor a system best suited to my students needs.,1
235,32.7368,-96.9068,3,2,3,2,4,1,1,1,1,1,1,1,1,4,3,3,1,1,2,1,1,1,1,1,1,1,3,3,3,4,4,5,5,5,2,2,2,1,3,3,3,3,1,1,1,1,1,4,1,,5,I don’t ,2
227,46.8743,-71.2803,2,4,3,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,3,3,2,2,3,2,1,2,2,3,4,4,4,5,2,2,2,2,4,2,3,2,2,3,2,1,2,3,3,,5,Its easy for them to find answers,3
290,26.5331,-80.1423,4,4,3,5,5,4,4,2,3,2,4,3,3,4,4,4,3,4,5,2,4,4,4,4,2,4,1,2,2,2,5,5,5,5,3,4,3,3,4,2,4,5,4,4,4,2,1,3,9,,5,"I am not sure yet, it is too new",2
263,40.0364,-75.2219,5,5,5,4,5,4,4,4,4,4,3,2,2,5,5,5,4,5,5,4,5,4,4,4,5,3,4,4,5,3,5,4,3,5,3,4,3,5,4,2,4,4,5,4,5,2,2,4,7,,5,"I see it as a way of helping them develop critical thinking and evaluation tools, and it is very useful to do this as a collaborative activity.",4
440,42.3531,-71.0958,4,4,4,3,4,4,4,4,3,2,3,2,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,5,5,3,4,4,4,4,4,4,4,4,4,4,2,2,4,6,,5,It’s modern and they can do many tasks using it. ,1
315,30.7131,-88.0857,5,5,5,5,4,5,5,5,4,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,3,4,5,4,5,5,5,4,5,5,5,5,1,1,3,7,,5,The ability to show my students in actual form is amazing. ,3
162,43.4051,-79.7214,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,5,5,4,4,4,4,5,4,5,2,4,2,2,3,3,3,3,4,4,4,4,4,5,5,5,2,2,2,4,,4,Innovative ,1
212,49.1906,-122.9344,3,3,2,3,4,3,3,3,3,2,2,2,3,2,3,3,3,2,2,2,3,3,2,3,3,3,2,2,2,2,4,5,5,4,3,3,3,3,2,1,2,3,4,3,4,2,1,2,1,,5,It can make assessment feedback an ongoing and more rapid process,4
475,43.9282,-105.5492,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,3,4,5,4,5,1,1,3,4,,4,It will enable better understanding for students,2
454,37.3612,-79.1469,4,4,4,4,4,4,4,4,4,3,2,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,5,4,4,4,4,2,2,2,1,,4,"GAI tools will alow me more time to do the important tasks, like actual teaching",4
349,45.4446,-75.6385,4,5,4,5,4,5,5,4,4,4,5,4,5,5,5,5,5,4,5,4,4,4,5,4,5,4,5,5,4,2,5,4,1,5,5,4,5,4,4,5,4,5,5,4,3,2,2,3,4,,4,its necessary for to obtain more opportunities for the future,2
128,53.5546,-113.3014,5,3,3,3,5,5,3,4,5,3,4,5,5,5,4,5,5,4,5,4,5,4,4,4,5,5,5,5,4,5,5,3,5,5,5,5,3,4,5,4,4,4,5,4,5,1,1,2,2,,3,By helping students find answers easier,2
466,48.3702,-89.2812,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,3,4,4,5,5,5,5,2,5,5,4,3,4,4,5,4,3,4,5,5,5,5,1,2,3,3,,2,They could create and make learning more interesting,4
503,53.7121,-122.8568,2,2,2,2,2,3,3,4,1,1,1,1,1,5,3,2,3,2,2,2,3,2,3,4,3,2,2,3,4,4,3,4,3,4,3,3,4,2,4,2,1,2,2,2,2,2,1,2,7,,5,Instant feedback?,4
655,30.209,-92.0607,4,4,4,4,5,4,3,4,3,3,4,2,4,4,4,5,4,2,2,4,4,4,5,2,4,4,4,4,3,4,5,5,5,4,4,4,4,4,2,2,4,3,4,4,4,2,1,3,9,,4,It allows me to stay current with legal events and real world events that my students can relate to,4
735,28.0699,-81.8107,3,3,4,3,4,3,4,4,4,2,4,4,4,4,5,5,4,5,4,4,4,4,5,4,4,5,4,5,4,5,5,4,4,5,5,4,5,5,5,4,5,5,5,4,5,1,2,3,4,,2,Yes ,3
740,43.2159,-78.0731,4,3,4,2,4,4,3,4,3,2,3,1,4,4,3,5,3,4,3,4,5,3,4,4,4,5,4,3,4,2,4,2,4,1,3,4,4,4,5,4,5,5,4,4,5,1,1,2,4,,3,I think it would students the chance to be able to express themselves more and be able to learn in a better way,3
343,41.5876,-87.3727,3,3,3,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,2,3,3,4,4,4,4,4,3,4,4,4,4,4,4,2,2,2,5,,5,Very much ,3
274,49.1378,-122.8521,5,4,5,5,4,5,5,5,1,1,1,1,1,3,2,2,3,2,4,2,2,2,2,2,3,2,2,3,2,1,3,2,5,3,4,2,3,3,2,1,1,1,1,1,1,1,2,4,5,,2,no it will decline the productivity,1
290,44.6643,-63.6002,5,5,5,5,5,4,4,4,1,1,4,2,4,4,4,4,5,4,3,4,2,4,4,3,4,4,5,5,5,5,4,4,5,5,1,2,2,2,4,4,3,3,4,4,4,2,1,2,6,,4,It can help students develop ideas.,2
396,43.8978,-79.2617,4,4,4,4,4,3,4,4,2,2,2,2,2,4,4,4,3,5,5,4,3,4,4,4,4,3,4,4,3,2,5,5,5,5,2,1,1,1,2,2,2,2,3,4,3,1,2,2,5,,3,Students today are over reliant on technology which means I will need use this technology to enhance their participation in classroom activities and case study building.,2
640,40.8771,-73.0885,4,4,4,4,4,4,3,3,2,2,2,1,1,3,4,3,3,4,3,4,4,2,3,3,4,4,3,3,3,2,5,4,5,5,3,3,3,3,2,2,2,2,2,3,3,3,1,2,8,,5,Not sure,4
206,40.7341,-73.7962,4,4,3,4,4,4,4,4,2,3,3,3,2,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,1,1,2,3,,2,More interactive lessons that are modernized ,3
246,33.3967,-111.6545,3,4,4,3,4,5,4,5,3,3,3,3,3,5,4,4,3,5,5,5,5,5,5,5,5,5,3,3,3,5,5,3,3,5,3,3,3,3,2,2,1,1,4,4,5,3,2,4,7,,2,Yes,4
150,44.9764,-93.224,5,5,5,4,3,5,5,5,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,5,4,5,4,4,5,2,2,1,2,5,5,5,5,5,5,4,4,4,5,4,1,1,3,3,,4,Because it's the best option for ,2
269,29.5183,-95.0977,4,4,4,4,5,4,4,4,1,2,3,2,3,4,4,3,3,3,4,4,3,3,4,3,2,3,4,4,4,4,5,4,5,4,2,3,2,2,3,3,3,3,3,4,3,2,2,2,3,,4,I think it can be beneficial but on the other hand can have other issues ,2
272,33.4474,-88.8205,4,4,3,3,3,3,3,3,3,2,2,2,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,3,3,3,3,2,2,2,2,2,2,3,2,2,2,7,,4,"outlines, rewording, grammar, story telling/examples, paraphrasing",4
229,42.8543,-93.6182,2,2,2,2,3,2,2,2,1,1,2,2,3,4,3,3,3,3,2,2,3,3,3,2,4,4,3,3,3,2,4,5,4,4,2,1,1,2,1,1,2,1,3,3,3,2,1,2,3,,5,adapting to individual students' needs.,4
345,38.7678,-75.2978,4,4,4,4,4,5,5,4,4,3,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,2,3,2,2,5,3,3,5,3,5,4,5,5,5,3,2,4,7,,5,"Creating content, questions, and activities for the classroom.",4
290,38.783,-90.6351,5,4,5,4,5,3,4,3,2,3,2,4,3,4,4,4,4,5,4,4,4,3,4,4,5,4,4,5,3,1,4,5,4,4,4,5,3,3,5,4,4,3,4,3,4,1,1,2,3,,5,Less reliace on it,1
338,39.3888,-76.4988,4,4,3,4,4,3,4,4,3,2,3,2,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,2,5,3,4,4,3,3,3,4,2,2,2,3,4,4,4,3,2,2,4,,5,I think getting students involved in both the positives and negatives of AI would benefit them,1
922,38.8511,-104.7688,4,4,3,4,5,5,4,5,3,4,4,4,4,4,2,3,4,3,3,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,5,3,4,4,4,3,1,1,3,2,,5,Or could take the repetition of if valto fo this be s and help people learn at thtree own pace ,2
157,33.2409,-111.7792,3,4,3,3,2,4,4,3,1,1,1,1,1,2,3,2,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,2,3,2,2,3,4,3,4,4,3,3,2,2,2,3,,5,It will help students be  more creative,1
761,40.8171,-73.9392,4,4,4,4,4,4,4,5,3,3,3,3,4,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,3,2,4,2,4,5,3,4,3,3,2,3,4,4,4,4,4,3,1,4,6,,5,It will help,4
834,43.8978,-79.2617,4,3,4,3,3,4,3,3,4,3,3,3,3,3,4,3,4,4,3,3,4,3,4,3,4,3,4,3,2,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,2,2,1,2,8,,5,As a verification,3
365,37.2121,-81.9952,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,3,3,4,2,4,4,4,4,4,4,4,4,3,4,4,1,1,4,5,,4,I think GenAi would make things easier for us to generate new modules for the classroom ,4
728,36.16,-95.988,5,5,3,4,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,3,3,1,5,5,4,3,5,5,5,5,5,5,5,1,1,2,2,,2,Makes learning and teaching more easier,3
269,34.2015,-84.4222,5,5,5,5,5,5,5,5,4,4,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,2,1,1,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,,5,It will help collaboration between students and teachers. It will make things easier for learning and improving their skills. ,4
453,53.9127,-122.8708,4,5,3,4,5,3,4,4,4,4,5,4,5,3,4,4,4,4,4,3,4,3,5,3,4,4,3,4,3,3,3,5,5,4,3,3,3,3,2,3,4,4,4,5,4,1,1,2,7,,3,Creative tailored data representation individualized to each students needs.,1
